sample_id,condition_id,rule,L,rho,live_count,density,block_var,block_entropy,components_t0,components_t1,fine_net_1,iso_count,iso_die,iso_survive,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum
6225,GoL_L128_rho0.30,GoL,128,0.3,4841,0.29547119140625,0.0029839836061000824,1.3454669217013306,2053,1185,-868,852,477,375,42,333,707,466,-1786,1837,51
6226,GoL_L128_rho0.30,GoL,128,0.3,4930,0.3009033203125,0.0032777637243270874,1.3738805181759395,2112,1189,-923,925,478,447,75,372,750,511,-1991,2041,50
6227,GoL_L128_rho0.30,GoL,128,0.3,4964,0.302978515625,0.002846658229827881,1.3630386006971498,2108,1277,-831,902,501,401,76,325,716,502,-1707,1801,94
6228,GoL_L128_rho0.30,GoL,128,0.3,5044,0.307861328125,0.0032457709312438965,1.3614800205209103,2119,1134,-985,914,490,424,68,356,757,522,-1958,2023,65
6229,GoL_L128_rho0.30,GoL,128,0.3,4887,0.29827880859375,0.00302785262465477,1.3252165013349955,2171,1243,-928,962,543,419,61,358,789,531,-1957,2007,50
6230,GoL_L128_rho0.30,GoL,128,0.3,4886,0.2982177734375,0.0033093541860580444,1.4041228929389826,2120,1185,-935,917,514,403,62,341,742,520,-1899,1943,44
6231,GoL_L128_rho0.30,GoL,128,0.3,5038,0.3074951171875,0.0031735748052597046,1.3739047527892079,2112,1213,-899,887,461,426,75,351,718,523,-1830,1902,72
6232,GoL_L128_rho0.30,GoL,128,0.3,4850,0.2960205078125,0.0029022544622421265,1.332776224289666,2110,1164,-946,916,512,404,61,343,754,538,-1990,2049,59
6233,GoL_L128_rho0.30,GoL,128,0.3,4905,0.29937744140625,0.0031303726136684418,1.362241195738849,2077,1224,-853,884,500,384,61,323,735,519,-1887,1941,54
6234,GoL_L128_rho0.30,GoL,128,0.3,4936,0.30126953125,0.003720998764038086,1.4963887480301084,2129,1155,-974,940,495,445,52,393,768,520,-2143,2175,32
6235,GoL_L128_rho0.30,GoL,128,0.3,4903,0.29925537109375,0.0035391412675380707,1.3259858649643332,2106,1143,-963,889,471,418,39,379,779,486,-2091,2127,36
6236,GoL_L128_rho0.30,GoL,128,0.3,4999,0.30511474609375,0.004020508378744125,1.4751775008656125,2037,1236,-801,878,493,385,53,332,728,509,-1842,1894,52
6237,GoL_L128_rho0.30,GoL,128,0.3,4790,0.2923583984375,0.0029932111501693726,1.3296101680664512,2098,1171,-927,901,486,415,56,359,755,512,-2009,2053,44
6238,GoL_L128_rho0.30,GoL,128,0.3,4878,0.2977294921875,0.0032646507024765015,1.3683355607624643,2050,1231,-819,858,497,361,61,300,699,490,-1782,1832,50
6239,GoL_L128_rho0.30,GoL,128,0.3,5015,0.30609130859375,0.0028743110597133636,1.3474762293213542,2063,1205,-858,887,477,410,67,343,728,502,-1959,2007,48
6240,GoL_L128_rho0.30,GoL,128,0.3,4838,0.2952880859375,0.0032971948385238647,1.3868662580793656,2080,1190,-890,893,511,382,51,331,727,485,-1959,2017,58
6241,GoL_L128_rho0.30,GoL,128,0.3,4886,0.2982177734375,0.003307446837425232,1.2984592565364448,2109,1230,-879,869,471,398,62,336,709,494,-1778,1836,58
6242,GoL_L128_rho0.30,GoL,128,0.3,4827,0.29461669921875,0.003272678703069687,1.4086291546481098,2096,1183,-913,899,506,393,46,347,742,545,-2031,2085,54
6243,GoL_L128_rho0.30,GoL,128,0.3,4987,0.30438232421875,0.003095533698797226,1.3758365656027527,2092,1169,-923,880,485,395,61,334,722,500,-1876,1925,49
6244,GoL_L128_rho0.30,GoL,128,0.3,4997,0.30499267578125,0.003316786140203476,1.3296501767283375,2112,1194,-918,954,518,436,54,382,781,536,-2073,2135,62
6245,GoL_L128_rho0.30,GoL,128,0.3,4940,0.301513671875,0.0029940009117126465,1.290007433898616,2068,1181,-887,880,486,394,60,334,723,487,-1874,1935,61
6246,GoL_L128_rho0.30,GoL,128,0.3,4967,0.30316162109375,0.003158148378133774,1.3945434359889837,2109,1231,-878,918,514,404,57,347,761,522,-2017,2076,59
6247,GoL_L128_rho0.30,GoL,128,0.3,4944,0.3017578125,0.0032415390014648438,1.3705936912189893,2151,1199,-952,954,497,457,60,397,788,543,-2227,2291,64
6248,GoL_L128_rho0.30,GoL,128,0.3,4868,0.297119140625,0.0030860304832458496,1.361378715601087,2146,1216,-930,931,503,428,58,370,761,550,-2144,2186,42
6249,GoL_L128_rho0.30,GoL,128,0.3,4896,0.298828125,0.0031871795654296875,1.3474281427917087,2086,1182,-904,847,455,392,53,339,706,466,-1859,1908,49
6250,GoL_L128_rho0.30,GoL,128,0.3,4928,0.30078125,0.0035400390625,1.4469771846590749,2055,1260,-795,862,481,381,54,327,718,470,-1727,1772,45
6251,GoL_L128_rho0.30,GoL,128,0.3,4964,0.302978515625,0.003010690212249756,1.3387925875879894,2109,1206,-903,887,469,418,48,370,754,527,-1973,2017,44
6252,GoL_L128_rho0.30,GoL,128,0.3,4985,0.30426025390625,0.0029066167771816254,1.249903121258095,2067,1230,-837,863,476,387,66,321,713,511,-1809,1877,68
6253,GoL_L128_rho0.30,GoL,128,0.3,4896,0.298828125,0.003391265869140625,1.3640086486386995,2093,1203,-890,923,504,419,66,353,766,503,-2107,2151,44
6254,GoL_L128_rho0.30,GoL,128,0.3,4910,0.2996826171875,0.0034444183111190796,1.3670414010793708,2129,1219,-910,944,512,432,53,379,776,515,-2022,2072,50
6255,GoL_L128_rho0.30,GoL,128,0.3,5014,0.3060302734375,0.003196820616722107,1.4082676505568332,2085,1242,-843,895,503,392,61,331,717,489,-1810,1869,59
6256,GoL_L128_rho0.30,GoL,128,0.3,4978,0.3038330078125,0.0033600181341171265,1.3457680614879248,2055,1215,-840,844,464,380,60,320,689,479,-1809,1862,53
6257,GoL_L128_rho0.30,GoL,128,0.3,4889,0.29840087890625,0.003216322511434555,1.372639027062058,2119,1202,-917,924,479,445,73,372,761,525,-2003,2056,53
6258,GoL_L128_rho0.30,GoL,128,0.3,4939,0.30145263671875,0.0032930634915828705,1.3175426504873642,2130,1221,-909,908,513,395,60,335,732,509,-1886,1949,63
6259,GoL_L128_rho0.30,GoL,128,0.3,4865,0.29693603515625,0.003437992185354233,1.3543792376840578,2093,1229,-864,887,487,400,77,323,702,506,-1883,1955,72
6260,GoL_L128_rho0.30,GoL,128,0.3,4971,0.30340576171875,0.0035116933286190033,1.4670846143586498,2065,1170,-895,899,493,406,47,359,746,510,-1944,1989,45
6261,GoL_L128_rho0.30,GoL,128,0.3,4932,0.301025390625,0.0032271742820739746,1.3632901569751161,2167,1140,-1027,970,516,454,61,393,806,558,-2252,2299,47
6262,GoL_L128_rho0.30,GoL,128,0.3,4901,0.29913330078125,0.003703739494085312,1.4586624971294173,2118,1240,-878,879,472,407,74,333,712,521,-1862,1918,56
6263,GoL_L128_rho0.30,GoL,128,0.3,4975,0.30364990234375,0.002858038991689682,1.358310775789423,2106,1232,-874,900,496,404,65,339,738,522,-1897,1953,56
6264,GoL_L128_rho0.30,GoL,128,0.3,4989,0.30450439453125,0.003295864909887314,1.3612965769113268,2065,1201,-864,871,486,385,53,332,718,531,-1769,1833,64
6265,GoL_L128_rho0.30,GoL,128,0.3,4998,0.3050537109375,0.0034903138875961304,1.4225959838989735,2112,1191,-921,909,497,412,47,365,771,551,-2076,2117,41
